Beágyazott információs rendszerek,BMEVIMIAD04,5,E,H:10:15-12:00,L1,CS:14:15-16:00,L2,CS:16:15-18:00,L3,K:16:15-18:00,L4,P:08:15-10:00
Rendszermodellezés,BMEVIMIAD03,5,E,K:14:15-16:00,L1,CS:14:15-16:00,L2,CS:16:15-18:00,L3,K:16:15-18:00,L4,P:08:15-10:00
IT biztonság,BMEVIHIAC07,5,E,K:10:15-12:00,L,CS:08:15-10:00
Információs rendszerek üzemeltetése,BMEVITMAD01,5,E1,CS:10:15-12:00,L1,SZE:14:15-18:00,L2,H:14:15-18:00
Menedzsment és vállalkozásgazdaságtan,BMEGT20A001,4,E1,K:08:15-10:00,E2,CS:15:15-17:00
Adatvezérelt szoftverfejlesztés labor,BMEVIAUAC16,3,L1,SZE:14:15-16:00,L2,SZE:16:15-18:00,L3,SZE:14:15-16:00,L4,SZE:08:15-10:00,L5,SZE:10:15-12:00,L6,SZE:08:15-10:00,L7,SZE:10:15-12:00,L8,P:08:15-10:00,L9,P:08:15-10:00,L10,K:16:15-18:00
